class,filename,path,brightness,R,G,B,R2,G2,B2,valid_pixel_ratio,contrast2,r_bin_0,r_bin_1,r_bin_2,r_bin_3,r_bin_4,g_bin_0,g_bin_1,g_bin_2,g_bin_3,g_bin_4,b_bin_0,b_bin_1,b_bin_2,b_bin_3,b_bin_4
Bombali Ghevda,1.jpg,Dataset_split/train\Bombali Ghevda\1.jpg,249.61871428571428,251.91671428571428,248.90457142857142,247.17585714285715,216.1095041322314,201.56198347107437,177.13842975206612,0.06914285714285714,25.70927193305729,0.0,0.0,0.010699001426533523,0.10057061340941512,0.8887303851640513,0.0,0.0007132667617689016,0.029957203994293864,0.137660485021398,0.8316690442225392,0.0007132667617689016,0.017118402282453638,0.08345221112696148,0.17403708987161198,0.724679029957204
Bombali Ghevda,10.jpg,Dataset_split/train\Bombali Ghevda\10.jpg,245.12614285714287,248.84142857142857,244.49428571428572,238.52342857142858,205.2383939774153,187.62358845671267,155.39021329987452,0.11385714285714285,36.832543094064704,0.0,0.004484304932735426,0.05630293971101146,0.0981564524165421,0.841056302939711,0.0,0.013951170901843548,0.08121574489287493,0.1260587942202292,0.7787742899850523,0.004982561036372696,0.060787244643746886,0.12506228201295466,0.24015944195316394,0.5690084703537618
Bombali Ghevda,10_aug0.jpg,Dataset_split/train\Bombali Ghevda\10_aug0.jpg,233.7162857142857,237.86328571428572,232.81914285714285,227.278,193.66002214839423,178.59025470653378,151.0,0.129,50.931106886564585,0.04006968641114982,0.010017421602787456,0.03789198606271777,0.08536585365853659,0.8266550522648084,0.04006968641114982,0.013937282229965157,0.06750871080139373,0.10540069686411149,0.7730836236933798,0.04573170731707317,0.04921602787456446,0.09625435540069686,0.23388501742160278,0.5749128919860628
Bombali Ghevda,11.jpg,Dataset_split/train\Bombali Ghevda\11.jpg,245.2,248.91885714285715,244.5262857142857,238.77428571428572,206.82603406326035,189.3905109489051,157.823600973236,0.11742857142857142,36.801179011616206,0.0,0.0061162079510703364,0.053007135575942915,0.10244648318042814,0.8384301732925586,0.0,0.014271151885830785,0.0856269113149847,0.12844036697247707,0.7716615698267074,0.0056065239551478085,0.06574923547400612,0.12793068297655455,0.23649337410805302,0.5642201834862385
Bombali Ghevda,11_aug0.jpg,Dataset_split/train\Bombali Ghevda\11_aug0.jpg,224.86214285714286,229.527,223.88157142857142,217.5132857142857,187.69364754098362,172.15676229508196,145.57274590163934,0.13942857142857143,52.34357160635296,0.042789223454833596,0.00792393026941363,0.04635499207606973,0.07369255150554675,0.8292393026941363,0.04318541996830428,0.014659270998415214,0.05784469096671949,0.1152931854199683,0.7690174326465927,0.04833597464342314,0.04397781299524564,0.10221870047543581,0.23256735340729,0.5729001584786054
Bombali Ghevda,12.jpg,Dataset_split/train\Bombali Ghevda\12.jpg,138.782,140.93428571428572,138.29614285714285,135.6627142857143,160.3261868300153,150.20367534456355,132.14395099540582,0.09328571428571429,72.82314807775884,0.11180555555555556,0.03680555555555556,0.02361111111111111,0.075,0.7527777777777778,0.11458333333333333,0.03611111111111111,0.044444444444444446,0.09652777777777778,0.7083333333333334,0.11805555555555555,0.05763888888888889,0.0763888888888889,0.1736111111111111,0.5743055555555555
Bombali Ghevda,12_aug0.jpg,Dataset_split/train\Bombali Ghevda\12_aug0.jpg,140.69714285714286,142.88557142857144,140.16985714285715,137.67314285714286,172.11951588502268,161.45234493192135,144.86989409984872,0.09442857142857143,66.73260890125268,0.09004739336492891,0.025050778605280974,0.04129993229519296,0.1015572105619499,0.7420446851726472,0.09140148950575491,0.024373730534867976,0.07312119160460392,0.1103588354773189,0.7007447528774543,0.0907244414353419,0.04468517264725796,0.10223425863236289,0.18686526743398782,0.5754908598510494
Bombali Ghevda,13.jpg,Dataset_split/train\Bombali Ghevda\13.jpg,242.22171428571428,248.51814285714286,241.45128571428572,229.61371428571428,214.42073778664007,187.81256231306082,150.2283150548355,0.1432857142857143,33.844125315631445,0.0,0.00039556962025316455,0.025712025316455698,0.10363924050632911,0.870253164556962,0.0,0.005142405063291139,0.07950949367088607,0.1787974683544304,0.7365506329113924,0.00435126582278481,0.07238924050632911,0.17840189873417722,0.3069620253164557,0.43789556962025317
Bombali Ghevda,13_aug0.jpg,Dataset_split/train\Bombali Ghevda\13_aug0.jpg,233.87928571428571,241.12542857142856,233.01142857142858,219.268,200.92696192696192,177.92696192696192,145.4747474747475,0.18385714285714286,45.95928615165343,0.020670958996950185,0.0057607590647238225,0.033209081667231445,0.11182649949169773,0.8285327007793968,0.020670958996950185,0.011182649949169773,0.07861741782446628,0.1870552355133853,0.7024737377160285,0.025753981701118266,0.07014571331751948,0.19010504913588613,0.29278210776008134,0.4212131480853948
Bombali Ghevda,14.jpg,Dataset_split/train\Bombali Ghevda\14.jpg,242.25785714285715,248.483,241.50842857142857,229.69785714285715,214.54445554445553,188.43356643356643,151.7912087912088,0.143,33.95317903153991,0.0,0.0,0.02444794952681388,0.10725552050473186,0.8682965299684543,0.0,0.005914826498422713,0.0804416403785489,0.17389589905362776,0.7397476340694006,0.00473186119873817,0.0721608832807571,0.1778391167192429,0.28785488958990535,0.45741324921135645
Bombali Ghevda,14_aug0.jpg,Dataset_split/train\Bombali Ghevda\14_aug0.jpg,209.74928571428572,216.585,208.90657142857143,196.0672857142857,189.21832498210452,169.04581245526128,140.96850393700788,0.19957142857142857,58.19816381286594,0.05317769130998703,0.009079118028534372,0.030155642023346304,0.10214007782101167,0.8054474708171206,0.05252918287937743,0.013618677042801557,0.07976653696498054,0.16666666666666666,0.6874189364461738,0.05609597924773022,0.07619974059662776,0.17444876783398183,0.2538910505836576,0.4393644617380026
Bombali Ghevda,15.jpg,Dataset_split/train\Bombali Ghevda\15.jpg,133.95885714285714,138.99785714285716,133.31942857142857,123.97785714285715,184.85140997830803,163.79501084598698,133.66052060737528,0.1317142857142857,67.97361635692084,0.07440100882723834,0.023118957545187054,0.014712063892391762,0.08995376208490963,0.7978142076502732,0.0748213535098781,0.023539302227826818,0.06599411517444305,0.13366960907944514,0.7019756200084069,0.08532997057587222,0.0701975620008407,0.14291719209751996,0.23833543505674654,0.4632198402690206
